timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_182317_411470,go2_dataset_20250714_182313/images/20250714_182317_411470.png,2.748725,2.514382,0.319623,-1.111715
20250714_182317_518787,go2_dataset_20250714_182313/images/20250714_182317_518787.png,2.748858,2.514285,0.319629,-1.111821
20250714_182317_625484,go2_dataset_20250714_182313/images/20250714_182317_625484.png,2.749047,2.514196,0.319624,-1.111974
20250714_182317_732063,go2_dataset_20250714_182313/images/20250714_182317_732063.png,2.749188,2.514088,0.31962,-1.11198
20250714_182317_836254,go2_dataset_20250714_182313/images/20250714_182317_836254.png,2.749327,2.513885,0.319634,-1.11184
20250714_182317_940534,go2_dataset_20250714_182313/images/20250714_182317_940534.png,2.7494,2.513739,0.319641,-1.111924
20250714_182318_043594,go2_dataset_20250714_182313/images/20250714_182318_043594.png,2.749516,2.513589,0.31963,-1.112038
20250714_182318_150743,go2_dataset_20250714_182313/images/20250714_182318_150743.png,2.74953,2.513487,0.319621,-1.112058
20250714_182318_257707,go2_dataset_20250714_182313/images/20250714_182318_257707.png,2.749597,2.513365,0.319628,-1.112048
20250714_182318_364854,go2_dataset_20250714_182313/images/20250714_182318_364854.png,2.749768,2.513248,0.319624,-1.111873
20250714_182318_470345,go2_dataset_20250714_182313/images/20250714_182318_470345.png,2.749913,2.513166,0.319633,-1.111787
20250714_182318_573771,go2_dataset_20250714_182313/images/20250714_182318_573771.png,2.750076,2.513067,0.31964,-1.111692
20250714_182318_680194,go2_dataset_20250714_182313/images/20250714_182318_680194.png,2.750261,2.512939,0.319651,-1.111686
20250714_182318_787083,go2_dataset_20250714_182313/images/20250714_182318_787083.png,2.750472,2.512858,0.319643,-1.111985
20250714_182318_891691,go2_dataset_20250714_182313/images/20250714_182318_891691.png,2.750611,2.51275,0.319632,-1.111868
20250714_182318_998638,go2_dataset_20250714_182313/images/20250714_182318_998638.png,2.750732,2.512692,0.319631,-1.111818
20250714_182319_105523,go2_dataset_20250714_182313/images/20250714_182319_105523.png,2.750902,2.512623,0.319613,-1.111808
20250714_182319_212361,go2_dataset_20250714_182313/images/20250714_182319_212361.png,2.751066,2.51245,0.319626,-1.111842
20250714_182319_318973,go2_dataset_20250714_182313/images/20250714_182319_318973.png,2.751141,2.512369,0.319306,-1.112016
20250714_182319_426143,go2_dataset_20250714_182313/images/20250714_182319_426143.png,2.753128,2.511168,0.319503,-1.123271
20250714_182319_532162,go2_dataset_20250714_182313/images/20250714_182319_532162.png,2.757853,2.510426,0.321427,-1.173391
20250714_182319_638402,go2_dataset_20250714_182313/images/20250714_182319_638402.png,2.766104,2.509056,0.322699,-1.282743
20250714_182319_745428,go2_dataset_20250714_182313/images/20250714_182319_745428.png,2.768764,2.511028,0.310544,-1.516268
20250714_182319_851467,go2_dataset_20250714_182313/images/20250714_182319_851467.png,2.767306,2.513016,0.312651,-1.576011
20250714_182319_958119,go2_dataset_20250714_182313/images/20250714_182319_958119.png,2.764645,2.51681,0.313037,-1.584021
20250714_182320_064895,go2_dataset_20250714_182313/images/20250714_182320_064895.png,2.753987,2.514982,0.313716,-1.583251
20250714_182320_172231,go2_dataset_20250714_182313/images/20250714_182320_172231.png,2.74593,2.501373,0.31116,-1.589976
20250714_182320_279565,go2_dataset_20250714_182313/images/20250714_182320_279565.png,2.742991,2.473525,0.307049,-1.598305
20250714_182320_386725,go2_dataset_20250714_182313/images/20250714_182320_386725.png,2.745075,2.425507,0.307979,-1.587769
20250714_182320_490242,go2_dataset_20250714_182313/images/20250714_182320_490242.png,2.75128,2.341268,0.294531,-1.58766
20250714_182320_596342,go2_dataset_20250714_182313/images/20250714_182320_596342.png,2.755703,2.267913,0.297258,-1.602903
20250714_182320_698634,go2_dataset_20250714_182313/images/20250714_182320_698634.png,2.755703,2.267913,0.297258,-1.602903
20250714_182320_805247,go2_dataset_20250714_182313/images/20250714_182320_805247.png,2.755703,2.267913,0.297258,-1.602903
20250714_182320_911406,go2_dataset_20250714_182313/images/20250714_182320_911406.png,2.755703,2.267913,0.297258,-1.602903
